订单编号,订单日期,供应商,产品类别,产品名称,数量,单价,总金额,区域,采购员,订单状态
PO-2025-00001,2025-02-22,重庆办公用品,办公用品,A4纸,22,137.63,3027.86,华南,刘强,已完成
PO-2025-00002,2025-02-17,重庆办公用品,办公用品,订书机,466,102.44,47737.04,西南,赵磊,已完成
PO-2025-00003,2025-12-26,苏州新材料科技,原材料,铝材,268,128.51,34440.68,西南,刘强,处理中
PO-2025-00004,2025-03-23,杭州精密五金,机械零件,联轴器,122,100.0,12200.0,华中,张明,处理中
PO-2025-00005,2025-07-14,西安包装材料,包装材料,标签纸,184,52.08,9582.72,华南,杨洋,已完成
PO-2025-00006,2025-10-02,深圳精密机械制造,机械零件,螺栓,443,79.28,35121.04,华中,张明,处理中
PO-2025-00007,2025-12-27,深圳精密机械制造,机械零件,联轴器,50,123.91,6195.5,东北,杨洋,已完成
PO-2025-00008,2025-02-21,深圳精密机械制造,机械零件,轴承,348,54.38,18924.24,华中,李华,待审批
PO-2025-00009,2025-04-18,武汉工具设备,工具耗材,电钻头,242,128.96,31208.32,华中,王芳,已完成
PO-2025-00010,2025-03-29,重庆办公用品,办公用品,墨盒,369,172.64,63704.16,西北,李华,已完成
PO-2025-00011,2025-11-24,杭州精密五金,机械零件,弹簧,135,39.81,5374.35,华北,陈静,已取消
PO-2025-00012,2025-01-17,西安包装材料,包装材料,封箱胶带,122,121.88,14869.36,东北,张明,已完成
PO-2025-00013,2025-09-13,广州包装制品,包装材料,标签纸,147,15.22,2237.34,西南,杨洋,已完成
PO-2025-00014,2025-10-03,武汉工具设备,工具耗材,切割片,244,32.86,8017.84,华南,刘强,处理中
PO-2025-00015,2025-03-12,北京信达办公,办公用品,订书机,309,79.69,24624.21,西南,赵磊,已完成
PO-2025-00016,2025-03-23,杭州精密五金,机械零件,联轴器,56,164.57,9215.92,东北,李华,已完成
PO-2025-00017,2025-10-11,重庆办公用品,办公用品,笔,315,16.0,5040.0,华北,周婷,已完成
PO-2025-00018,2025-06-24,长沙恒达电子科技,电子元器件,连接器,379,27.34,10361.86,西南,陈静,处理中
PO-2025-00019,2025-04-02,深圳精密机械制造,机械零件,螺栓,232,39.42,9145.44,华东,陈静,已取消
PO-2025-00020,2025-03-24,杭州精密五金,机械零件,轴承,455,137.09,62375.95,东北,刘强,已完成
PO-2025-00021,2025-07-05,杭州精密五金,机械零件,导轨,480,5.52,2649.6,华中,周婷,已完成
PO-2025-00022,2025-09-06,北京信达办公,办公用品,文件夹,39,46.77,1824.03,西南,李华,已完成
PO-2025-00023,2025-03-26,深圳精密机械制造,机械零件,导轨,402,32.48,13056.96,西北,周婷,待审批
PO-2025-00024,2025-07-24,北京信达办公,办公用品,笔记本,456,110.96,50597.76,华南,刘强,处理中
PO-2025-00025,2025-04-26,重庆办公用品,办公用品,订书机,201,83.2,16723.2,西南,周婷,已完成
PO-2025-00026,2025-12-29,深圳精密机械制造,机械零件,螺栓,20,131.69,2633.8,华南,刘强,已完成
PO-2025-00027,2025-05-02,重庆办公用品,办公用品,A4纸,127,16.69,2119.63,华东,杨洋,已完成
PO-2025-00028,2025-08-31,北京信达办公,办公用品,订书机,258,42.1,10861.8,华南,周婷,已完成
PO-2025-00029,2025-08-28,武汉工具设备,工具耗材,螺丝刀,58,23.9,1386.2,华北,杨洋,已完成
PO-2025-00030,2025-06-23,西安包装材料,包装材料,纸箱,354,116.53,41251.62,西北,李华,已完成
PO-2025-00031,2025-05-23,深圳精密机械制造,机械零件,齿轮,108,46.3,5000.4,华北,王芳,已完成
PO-2025-00032,2025-10-04,成都电气元件,电子元器件,电容器,457,212.79,97245.03,华北,李华,已完成
PO-2025-00033,2025-09-04,长沙恒达电子科技,电子元器件,电阻器,484,151.95,73543.8,华南,王芳,已完成
PO-2025-00034,2025-05-16,苏州新材料科技,原材料,塑料颗粒,472,17.26,8146.72,华北,张明,已取消
PO-2025-00035,2025-06-01,成都电气元件,电子元器件,集成电路,226,161.96,36602.96,西北,周婷,已完成
PO-2025-00036,2025-10-27,苏州新材料科技,原材料,钢材,306,155.89,47702.34,华东,杨洋,已完成
PO-2025-00037,2025-02-11,成都电气元件,电子元器件,继电器,480,196.97,94545.6,华南,张明,已取消
PO-2025-00038,2025-10-19,上海自动化设备,电子元器件,电阻器,314,17.34,5444.76,东北,刘强,已完成
PO-2025-00039,2025-10-17,苏州新材料科技,原材料,橡胶,314,13.39,4204.46,华东,赵磊,已完成
PO-2025-00040,2025-07-22,杭州精密五金,机械零件,螺栓,488,60.32,29436.16,西北,杨洋,已完成
PO-2025-00041,2025-11-15,上海自动化设备,电子元器件,连接器,340,60.32,20508.8,华中,李华,已完成
PO-2025-00042,2025-06-28,南京化工材料,原材料,钢材,47,123.02,5781.94,,陈静,已完成
PO-2025-00043,2025-12-01,深圳精密机械制造,机械零件,齿轮,199,66.63,13259.37,华北,陈静,已完成
PO-2025-00044,2025-03-10,杭州精密五金,机械零件,轴承,351,177.48,62295.48,华中,李华,待审批
PO-2025-00045,2025-11-06,北京信达办公,办公用品,A4纸,465,23.28,10825.2,西南,王芳,已完成
